Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,ReportDate
,1/1/20,345,Assault Offenses,Simple Assault,1/1/20
Hazelwood,1/1/20,550,Assault Offenses,Intimidation,1/1/20
Collins View,1/1/20,53,Assault Offenses,Simple Assault,1/1/20
Collins View,1/1/20,53,Arson,Arson,1/1/20
Woodlawn,1/1/20,158,Assault Offenses,Simple Assault,1/1/20
Downtown,1/1/20,11,Assault Offenses,Simple Assault,1/1/20
Hazelwood,1/1/20,1128,Assault Offenses,Simple Assault,1/1/20
Hosford-Abernethy,1/1/20,1318,Assault Offenses,Aggravated Assault,1/1/20
St Johns,1/1/20,1217,Assault Offenses,Simple Assault,1/1/20
Concordia,1/1/20,1810,Assault Offenses,Simple Assault,1/1/20
Concordia,1/1/20,1810,Vandalism,Vandalism,1/1/20
Buckman East,1/1/20,2057,Assault Offenses,Simple Assault,1/1/20
Hazelwood,1/2/20,1021,Assault Offenses,Simple Assault,1/2/20
Roseway,1/2/20,600,Assault Offenses,Simple Assault,1/2/20
Centennial,1/1/19,1005,Sex Offenses,Sodomy,1/2/20
South Portland,1/2/20,1120,Assault Offenses,Simple Assault,1/2/20
Eliot,1/2/20,2159,Assault Offenses,Simple Assault,1/2/20
Powellhurst-Gilbert,1/2/20,1536,Assault Offenses,Simple Assault,1/2/20
Old Town/Chinatown,1/2/20,917,Assault Offenses,Aggravated Assault,1/2/20
St Johns,1/2/20,2030,Assault Offenses,Simple Assault,1/2/20
Montavilla,1/3/20,123,Assault Offenses,Simple Assault,1/3/20
Glenfair,1/4/20,57,Assault Offenses,Simple Assault,1/4/20
Glenfair,1/3/20,2250,Assault Offenses,Aggravated Assault,1/3/20
Mill Park,1/3/20,2242,Assault Offenses,Simple Assault,1/3/20
Hazelwood,1/4/20,238,Assault Offenses,Simple Assault,1/4/20
Centennial,1/4/20,506,Homicide Offenses,Murder and Non-negligent Manslaughter,1/4/20
Old Town/Chinatown,1/3/20,1649,Assault Offenses,Simple Assault,1/3/20
,1/4/20,948,Assault Offenses,Simple Assault,1/4/20
Madison South,1/3/20,1732,Assault Offenses,Aggravated Assault,1/3/20
Hosford-Abernethy,1/3/20,1600,Assault Offenses,Intimidation,1/3/20
Hosford-Abernethy,1/3/20,1600,Vandalism,Vandalism,1/3/20
