location,zip,Unique Neighborhoods,Unique Zip Code,date,time,offenseCatagory,crimeSeverity,uniqueOffenses,severityIndex,offenseType,count,matchingZips
Madison South,97220,NULL,0,1/3/20,1732,Assault Offenses,10,Sex Offenses,15,Aggravated Assault,1,97201
Hosford-Abernethy,97202,Alameda,97212,1/3/20,1600,Assault Offenses,10,Fraud Offenses,1,Intimidation,1,97202
Hosford-Abernethy,97202,Arbor Lodge,97217,1/3/20,1600,Vandalism,4,Assault Offenses,10,Vandalism,1,97203
Hosford-Abernethy,97202,Ardenwald,97222,1/4/20,6,Assault Offenses,10,Larceny Offenses,5,Intimidation,1,97204
Hosford-Abernethy,97202,Argay,97230,1/4/20,6,Vandalism,4,Embezzlement,2,Vandalism,1,97205
Eliot,97212,Arlington Heights,97201,1/4/20,1320,Vandalism,4,"Sex Offenses, Nonforcible",5,Vandalism,1,97206
Centennial,97233,Arnold Creek,97219,1/4/20,513,Vandalism,4,Vandalism,4,Vandalism,1,97209
Hayden Island,97217,Ashcreek,97219,12/30/19,800,Assault Offenses,10,Drug/Narcotic Offenses,4,Simple Assault,1,97210
University Park,97203,Beaumont-Wilshire,97212,1/4/20,139,Assault Offenses,10,Burglary,10,Aggravated Assault,1,97211
Glenfair,97230,Boise,97227,1/4/20,2155,Assault Offenses,10,Motor Vehicle Theft,10,Simple Assault,1,97212
Wilkes,97230,Brentwood-Darlington,97206,1/1/20,359,Assault Offenses,10,Stolen Property Offenses,7,Aggravated Assault,1,97213
Buckman West,97214,Bridgeton,97217,1/3/20,736,Assault Offenses,10,Counterfeiting/Forgery,1,Simple Assault,1,97214
Powellhurst-Gilbert,97236,Bridlemile,97221,1/1/20,400,Assault Offenses,10,Prostitution Offenses,3,Simple Assault,1,97215
Humboldt,97217,Brooklyn,97202,11/27/19,1100,Assault Offenses,10,Kidnapping/Abduction,18,Simple Assault,1,97216
Old Town/Chinatown,97209,Buckman East,97214,1/5/20,756,Assault Offenses,10,Robbery,8,Aggravated Assault,1,97217
King,97211,Buckman West,97214,1/5/20,1350,Assault Offenses,10,Animal Cruelty Offenses,3,Simple Assault,1,97218
Madison South,97220,Cathedral Park,97203,1/4/20,2039,Assault Offenses,10,Weapon Law Violations,6,Simple Assault,1,97219
Mill Park,97216,Centennial,97233,1/5/20,2026,Assault Offenses,10,Arson,10,Simple Assault,1,97220
Hillsdale,97201,Collins View,97219,1/5/20,2145,Assault Offenses,10,Homicide Offenses,20,Aggravated Assault,1,97221
Hollywood,97212,Concordia,97211,1/5/20,2330,Assault Offenses,10,Extortion/Blackmail,5,Aggravated Assault,1,97227
Kerns,97232,Creston-Kenilworth,97202,1/1/20,1010,Vandalism,4,Pornography/Obscene Material,1,Vandalism,1,97230
Homestead,97239,Crestwood,97219,1/5/20,2128,Assault Offenses,10,Bribery,3,Aggravated Assault,1,97232
