County,Project Name,Address,City,Management ,Contact Phone,Total Units,Single Room Occupancy,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms
Multnomah,Fairview Arms,305 7th St,Fairview,Affinity Property Management,503-667-5337,44,,,11,22,11,
Multnomah,Fairview Oaks,22701 NE Halsey St,Fairview,Quantum Residential,503-492-1459,328,,,44,186,88,10
Multnomah,King's Garden,2700 NE 205th Ave,Fairview,ILP Corp.,503-666-2181,152,,,,76,76,
Multnomah,Aldercrest Apts,21900 SE Alder Dr,Gresham,JDL Development,503-666-5705,68,,,24,44,,
Multnomah,Alderwood,18242 SE Yamhill St,Gresham,Home Forward,503-280-3750,20,,,,13,7,
Multnomah,Alpha Apts,18088 SE Market St,Gresham,Central City Concern,503-525-8483,22,,,15,7,,
Multnomah,Ava House,97 NW Ava Ave,Gresham,Cascadia Behavioral Healthcare,503-232-6971,6,,,,,,
Multnomah,Berry Ridge Apts,2711 W Powell Blvd,Gresham,GSL Properties,503-224-2554,248,,,120,128,,
Multnomah,Bristol Woods,1201 NE 8th St,Gresham,WPL Associates,503-666-4717,156,,,,132,24,
Multnomah,Cedar Meadows,645 SE Kane Dr,Gresham,Affinity Property Management,503-328-9447,19,,,,5,13,1
Multnomah,The Cedars,3181 SE Powell Valley Rd,Gresham,Affinity Property Management,503-328-9447,22,,,,7,13,2
Multnomah,Central Station Apts,777 NE 8th St,Gresham,Quad Inc.,503-287-4260,23,,,17,6,,
Multnomah,Coburn Woods Apts,17308 NE Couch St,Gresham,Cascadia Behavioral Healthcare,503-232-6971,10,,,9,1,,
Multnomah,East Fair Terrace,500 NW Division St,Gresham,Guardian Real Estate Services,503-661-3001,100,,,94,6,,
Multnomah,Gresham Station,1957 NW Florence Ave,Gresham,GSL Properties,503-665-2231,253,,3,155,95,,
Multnomah,Gresham Village Square,1625 SE Roberts Ave,Gresham,Income Property Management,503-666-9255,72,,,,62,10,
Multnomah,Kelly Place Apts,1215 NE Kelly Ave,Gresham,Cascade Management Inc.,503-408-8886,20,,,2,5,8,5
Multnomah,Mattie Younkin Manor,2400 NE 27th St,Gresham,Cascade Management Inc.,503-655-3113,35,,9,26,,,
Multnomah,Mt. Hood Community Apts,208 NE Cleveland Ave,Gresham,Cascadia Behavioral,503-232-6971,15,,,14,1,,
Multnomah,The Pines Apts,110 SE 188th Ave,Gresham,Affinity Property Management,503-666-5310,66,,,4,50,12,
Multnomah,Powell Vista Manor,4125 SE 182nd Ave,Gresham,Cascade Management Inc.,503-661-4633,70,,6,64,,,
Multnomah,Raintree Apts,800 SE 187th Ave,Gresham,Human Solutions,503-548-0200,77,,20,57,,,
Multnomah,Rockwood Station,19100 E Burnside St,Gresham,Quantum Residential,503-666-6555,195,,,78,117,,
Multnomah,Stark Manor,600 SE 217th Ave,Gresham,Home Forward,503-280-3750,30,,,,18,12,
Multnomah,Tillicum North,3001 NE Division St,Gresham,Home Forward,503-280-3750,18,,,,,18,
Multnomah,Tillicum South,3045 SE Powell Valley Rd,Gresham,Home Forward,503-280-3750,12,,,,12,,
Multnomah,Village Square,1625 SE Roberts Dr,Gresham,Income Property Management,503-666-9255,72,,,,64,8,
Multnomah,Willow Tree Apts,311 NE Division St,Gresham,Cascade Management Inc.,503-408-8886,15,,,1,11,3,
Multnomah,1200 Building,1220 SW 12th Ave,Portland,Harsch Investment Corp.,503-248-0260,89,,,89,,,
Multnomah,12th Avenue Terrace,1515 SW 12th Ave,Portland,REACH Community Development Inc.,503-226-9181,119,,118,1,,,
Multnomah,3033 NE Rodney,3033 NE Rodney Ave,Portland,Mentor Oregon,503-258-2440,5,,,,5,,
Multnomah,333 Oak Apts,333 SW Oak St,Portland,Cascade Management Inc.,503-227-2358,90,,72,18,,,
Multnomah,72nd & Foster,7104 SE Foster,Portland,REACH Community Development Inc.,503-226-9181,101,,,,,,
Multnomah,93rd Avenue,6119 SE 93rd Ave,Portland,Rose Community Development Corp.,503-777-8845,20,,,,10,10,
Multnomah,A. Phillips Square,626 NE Brazee,Portland,Cascade Management Inc.,503-287-2162,18,,8,10,,,
Multnomah,Abigail Apts,1650 NW 13th Ave,Portland,Guardian Real Estate Services,503-224-0789,155,,35,33,51,36,
Multnomah,Admiral Apts,910 SW Park Ave,Portland,REACH Community Development Inc.,503-546-9191,37,,14,23,,,
Multnomah,Ainsworth Court,1515 N Ainsworth St,Portland,Income Property Management,503-286-9770,88,,,64,24,,
Multnomah,Alberta Simmons Plaza,6611 NE Martin Luther King Jr Blvd,Portland,Manor Management,503-240-4198,74,,,73,1,,
Multnomah,Alberta St Apts,5010 NE 19th Ave,Portland,Cascade Management Inc.,503-281-7131,24,,8,16,,,
Multnomah,Albina Corner,409 NE San Rafael St,Portland,REACH Community Development Inc.,503-281-7227,48,,,29,16,3,
Multnomah,Albina Plaza,4012 N Borthwick Ave,Portland,Cascade Management Inc.,503-493-1140,8,,,4,4,,
Multnomah,Alder House,523 SW 13th Ave,Portland,Income Property Management,503-222-1182,132,131,,1,,,
Multnomah,Allen Fremont Plaza,221 NE Fremont St,Portland,REACH Community Development Inc.,503-282-8668,64,,,64,,,
Multnomah,Ankeny Square,204 SW 8th Ave,Portland,Central City Concern,503-525-8483,106,106,,,,,
Multnomah,Ankeny Woods,12016 SE Ankeny St,Portland,Human Solutions,844-233-3197,42,,,,,,
Multnomah,Arbor Glen Apts,2609 SE 145th Ave,Portland,Human Solutions,503-298-6025,96,,,4,52,40,
Multnomah,Ash Street Courtyard,12026 SE Ash St,Portland,Cascade Management Inc.,503-252-5041,47,,,23,24,,
Multnomah,Ashcreek Commons,11230 SW 62nd Ave,Portland,Cascade Management Inc.,503-244-1707,21,,,,,17,4
Multnomah,Avenue Plaza,5025 NE 8th Ave,Portland,Cascade Management Inc.,503-281-7131,22,,4,18,,,
Multnomah,Barbara Maher,2322 N Williams Ave,Portland,Guardian Real Estate Services,503-823-4935,33,,33,,,,
Multnomah,Beacon Manor,3123 SE 8th Ave,Portland,REACH Community Development Inc.,503-235-9029,19,,11,8,,,
Multnomah,Beatrice Morrow,3368 NE MLK Blvd,Portland,PCRI,503-288-2923,80,,,,,,
Multnomah,Beech Street,3650 NE Malloy St,Portland,Income Property Management,503-223-6327,32,,,,,,
Multnomah,Bel Park,1001 N Blandena St,Portland,Home Forward,503-280-3750,10,,2,8,,,
Multnomah,Bellrose Station,7901 SE 92nd Ave,Portland,Cascade Management Inc.,503-771-3808,40,,,,31,9,
Multnomah,The Belmont Dairy,3340 SE Morrison St,Portland,Guardian Real Estate Services,503-235-4312,81,,,,,,
Multnomah,Betty Campbell Building,3917 N Mississippi Ave,Portland,PCRI,503-288-2923,9,,9,,,,
Multnomah,Beyer Court,9305 SE Harold St,Portland,Cascade Management Inc.,503-777-8845,14,,,,14,,
Multnomah,Biltmore Hotel,310 NW 6th Ave,Portland,Central City Concern,503-525-8483,75,75,,,,,
Multnomah,Blackburn Center,25 NE 122nd Ave,Portland,Central City Concern,503-525-8483,124,,,,,,
Multnomah,The Bookmark,2034 NE 40th Ave,Portland,Guardian Real Estate Services,503-335-8400,48,,1,36,11,,
Multnomah,Briarwood East,3302 SE 122nd Ave,Portland,Human Solutions,503-298-6025,22,,,,7,15,
Multnomah,Bridgeview Apts,6816 N Trumbull Ave,Portland,Cascade Management Inc.,503-929-5924,13,,,13,,,
Multnomah,Broadway Vantage,8238 NE Broadway,Portland,Income Property Management,503-252-3136,58,,2,10,30,12,4
Multnomah,Bronaugh Apts,1434 SW Morrison St,Portland,REACH Community Development Inc.,503-227-0754,50,,11,39,,,
Multnomah,Buckman Heights,430 NE 16th Ave,Portland,Summit Real Estate,503-232-4040,144,,60,64,20,,
Multnomah,Bud Clark Commons,655 NW Hoyt St,Portland,Home Forward,503-280-4002,130,,130,,,,
Multnomah,Bukas Place,2705 N Killingsworth St,Portland,UBA Building Services,503-289-6072,7,,,,6,1,
Multnomah,Burlwood Apts,14992 SE Division St,Portland,Income Property Management,503-760-3830,35,,,8,18,9,
Multnomah,Burnside Station Apts,240 SE 160th Ave,Portland,Quad Inc.,503-287-4260,21,,,15,5,1,
Multnomah,Butte Hotel,610 NW Davis St,Portland,Central City Concern,503-525-8384,37,37,,,,,
Multnomah,Camar Apts,2164 NW Lovejoy St,Portland,Northwest Housing Alternatives,503-654-1007,12,,,12,,,
Multnomah,Cambridge Court,5224 N Vancouver Ave,Portland,Central City Concern,503-525-8483,20,,,,20,,
Multnomah,Camelia Court,2601 N Lombard St,Portland,Home Forward,503-280-3750,14,,,14,,,
Multnomah,Candalaria Plaza,901 SE 162nd Ave,Portland,PHC Northwest,503-261-1266,32,,,8,16,8,
Multnomah,Caritas Plaza,2830 N Williams Ave,Portland,Cascade Management Inc.,503-288-3186,30,,9,18,3,,
Multnomah,Caritas Sacred Heart Villa,3911 SE Milwaukie Ave,Portland,Cascade Management Inc.,503-232-1466,68,,6,45,17,,
Multnomah,Caritas Villa,16060 E Burnside St,Portland,Cascade Management Inc.,503-257-8947,30,,3,24,3,,
Multnomah,Carlton Court,5241 NE Killingsworth St,Portland,Home Forward,503-280-3750,24,,,,14,10,
Multnomah,Carol Ann Apts,5109 NE Killingsworth St,Portland,WCR Co Inc.,503-282-4696,60,,32,28,,,
Multnomah,Carolyn Gardens,13907 SE Division St,Portland,Human Solutions,844-233-3197,12,,,,,4,8
Multnomah,Cascade Crossing,10535 E Burnside St,Portland,Human Solutions,844-210-6442,74,,,16,32,26,
