projectName,address,zipCode,safetyIndex,management,contactPhone,totalUnits,singleRoomOccupancy,studio,1_bedroom,2_bedroom,3_bedroom,4_bedroom
Gray's Landing,0650 SW Lowell St,97239,,REACH Community Development Inc.,971-277-7195,42,,,22,20,,
Madrona Studios,10 N Weidler St,97227,,Central City Concern,503-525-8483,176,,176,,,,
Helen Swindells Apts,10 NW Broadway,97209,,Income Property Management,503-228-9474,105,105,,,,,
Eastgate Station,100 NE 120th Ave,97220,,Cascade Management Inc.,503-257-0000,61,,,16,8,29,8
Bel Park,1001 N Blandena St,97217,,Home Forward,503-280-3750,10,,2,8,,,
North Oswego House,10036 N Oswego Ave,97203,,NARA NW,503-224-1044,5,5,,,,,
Dawson Park Apts,101 N Morris St,97227,,Income Property Management,503-287-4742,67,,,59,8,,
King Dishman Court,101 NE Knott,97212,,Cascade Management Inc.,503-287-2162,14,,,4,6,4,
Chaucer Court,1019 SW 10th Ave,97205,,Manor Management,503-224-3559,83,,29,54,,,
Station Place Tower,1020 NW 9th Ave,97209,,REACH Community Development Inc.,503-546-4646,176,,36,125,15,,
St Francis Apts,1024 SW Main St,97205,,Cascade Management Inc.,503-223-2161,132,,106,16,10,,
Floyd Light Apts,1031 SE 106th Ave,97216,,REACH Community Development Inc.,503-688-5378,50,,,27,23,,
Lents Village,10325 SE Holgate Blvd,97266,,Cascade Management Inc.,503-762-0570,63,,,52,11,,
Lovejoy Station,1040 NW 10th Ave,97209,,Income Property Management,503-220-2500,181,,76,66,39,,
Cascade Crossing,10535 E Burnside St,97216,,Human Solutions,844-210-6442,74,,,16,32,26,
Plaza de Cedro,10801 NE Fremont St,97220,,Cascade Management Inc.,503-335-9603,6,,,,,4,2
Park Vista,10918 SE Stark St,97216,,Human Solutions,844-277-5320,59,,7,17,8,17,10
Hill Park Apts.,110 SW Arthur,97201,,Central City Concern,503-525-8483,39,,14,25,,,
Moles Rentals,1103 NE Roselawn St,97211,,Marvin & Doreen Mole,619-462-8676,7,,,,,7,
Lone Pine Apts,111 NE 162nd Ave,97230,,Cascadia Behavioral Healthcare,503-674-7777,17,,,,,,
Sitka Apts,1115 NW Northrup St,97209,,Pinnacle Realty Management,503-306-3400,209,,60,102,47,,
Martha Washington,1115 SW 11th Ave,97209,,Central City Concern,503-525-8483,108,,90,18,,,
Fairfield Apts,1117 SW Stark St,97205,,Income Property Management,503-224-8036,81,,81,,,,
Powellhurst Woods,11200 SE Holgate Blvd,97266,,Home Forward,503-280-3750,34,,,,23,11,
Ashcreek Commons,11230 SW 62nd Ave,97219,,Cascade Management Inc.,503-244-1707,21,,,,,17,4
Lexington Apts,1125 SW 12th Ave,97205,,Harsch Investment Corp.,503-227-3367,54,,53,1,,,
Outside In,1132 SW 13th Ave,97205,,Outside In,503-535-3800,10,10,,,,,
Sandy Apts,11401 NE Sandy Blvd,97220,,Luke-Dorf Inc.,503-726-3690,14,,,,,,
The Snowberry,117 SE 151st Ave,97233,,PHC Northwest,503-261-1266,27,,,13,14,,
St Francis Park,1177 SE Stark,97214,,Cascade Management Inc.,503-704-2360,106,,77,28,1,,
Jeffrey Apts,1201 SW 11th Ave,97205,,Income Property Management,503-954-2228,80,,50,30,,,
Holgate Project,12012 SE Holgate Blvd,97266,,Cascade Management Inc.,503-253-6351,10,,,10,,,
Ankeny Woods,12016 SE Ankeny St,97216,,Human Solutions,844-233-3197,42,,,,,,
Gladstone Square,12020 SE Gladstone St,97266,,Quantum Residential,503-760-3010,48,,,,36,12,
Pine Point Apts,12025 SE Pine St,97216,,Cascade Management Inc.,971-270-6949,24,,10,12,2,,
Ash Street Courtyard,12026 SE Ash St,97216,,Cascade Management Inc.,503-252-5041,47,,,23,24,,
Hamilton West Apts,1212 SW Clay St,97201,,Cascade Management Inc.,503-525-0500,152,,129,23,,,
Rosenbaum Plaza,1218 SW Washington St,97205,,Quantum Residential,503-228-5355,76,76,,,,,
1200 Building,1220 SW 12th Ave,97205,,Harsch Investment Corp.,503-248-0260,89,,,89,,,
Ritzdorf Court,1225 SE Belmont St,97214,,REACH Community Development Inc.,503-233-8985,85,,82,3,,,
Shoreline Building,123 W Burnside St,97209,,Central City Concern,503-525-8483,62,,62,,,,
Rex Arms,1230 SE Morrison St,97214,,REACH Community Development Inc.,503-238-2915,62,,21,41,,,
Rockwood Building,124 NE 181st Ave,97230,,Human Solutions,844-230-1495,47,,16,16,15,,
Gretchen Kafoury Commons,1240 SW Columbia St,97201,,Cascade Management Inc.,503-226-0600,129,,87,37,5,,
Halsey Terrace,12428 NE Halsey,97230,,Portland Habitation Center,503-261-1266,15,,,,,,
Powell Court Villa,12540 SE Powell Ct,97236,,Affinity Property Management,503-761-6068,68,,,,46,22,
Floresta,12608 SE Foster Rd,97236,,Home Forward,503-280-3750,20,,,,8,12,
Hazel Heights,12621 SE Stark,97233,,Central City Concern,503-525-8483,153,,,,,,
Hopewell Apts,1264 SW Cheltenhem St,97239,,Cascadia Behavioral Healthcare,503-244-6157,12,,,8,4,,
Macdonald West,127 NW 6th Ave,97209,,Income Property Management,503-568-6550,42,,42,,,,
Peyton Plaza,12713 SE Powell Blvd,97236,,ColumbiaCare Services Inc.,541-858-8170,22,,,8,14,,
Hunter's Run,12725 SE Powell Blvd,97236,,Home Forward,503-280-3750,10,,,,,10,
Cedar Place,130 NE Lombard St,97211,,PCRI,503-288-2923,5,,,,5,,
Miracles Central Apts,1306 NE 2nd Ave,97232,,Central City Concern,503-525-8483,47,,21,22,4,,
Park 132 Apartments,13130 SE Powell Blvd,97236,,PHC Northwest,503-760-7359,19,,,,19,,
St James Apts,1320 SW 10th Ave,97201,,GSL Properties,503-226-4778,109,,41,46,22,,
Scott Crest Plaza Apts,13223 SE Powell Blvd,97236,,PHC Northwest,503-760-7359,42,,,4,32,6,
Taylor Street Apts,1330 SE Taylor St,97214,,REACH Community Development Inc.,503-760-0907,10,,,4,6,,
Powell Plaza,13320 SE Powell Blvd,97236,,Heartland Realty,503-761-7650,67,,24,43,,,
Market Street Home,13541 SE Market St,97233,,Cascadia Behavioral Healthcare,503-963-7797,5,5,,,,,
Carolyn Gardens,13907 SE Division St,97236,,Human Solutions,844-233-3197,12,,,,,4,8
The Pines,140 SE 188th Ave,97233,,Human Solutions,503-666-5310,66,,,4,50,12,
Irish Moss,14050 E Burnside St.,97233,,PHC Northwest,503-261-1266,27,,,,,27,
Cygnet,14135 SE Division St,97236,,Human Solutions,503-548-0200,20,,,2,5,8,5
Hawthorne East,1420 SE 16th Ave,97214,,Cascade Management Inc.,503-230-0306,71,,,71,,,
Fern Grove Apts,14232 E Burnside,97233,,PHC Northwest,503-261-1266 x170,33,,,,,33,
Imperial Arms Apts,1429 SW 14th Ave,97201,,Circum Pacific Properties,503-223-8005,58,,28,20,10,,
Rose Schnitzer Tower,1430 SW 12th Ave,97201,,Harsch Investment Properties,503-222-7467,233,,,,,,
Bronaugh Apts,1434 SW Morrison St,97205,,REACH Community Development Inc.,503-227-0754,50,,11,39,,,
Clark Center Annex,1437 SE Martin Luther King Jr Blvd,97214,,Transitions Project,503-280-4700,22,,,,,,
Otesha Place,1484 NE Alberta St,97211,,Sabin Community Development Corp.,503-287-3496,11,,,,11,,
Burlwood Apts,14992 SE Division St,97236,,Income Property Management,503-760-3830,35,,,8,18,9,
James Hawthorne,1510 SW 13th Ave,97201,,Home Forward,503.280.3750,48,48,,,,,
Ainsworth Court,1515 N Ainsworth St,97217,,Income Property Management,503-286-9770,88,,,64,24,,
12th Avenue Terrace,1515 SW 12th Ave,97201,,REACH Community Development Inc.,503-226-9181,119,,118,1,,,
Village Gardens,15230 NE Sandy Blvd,97230,,Bowen Property Management,503-253-2273,59,,6,18,31,4,
Weidler Commons,1529 NE 21st Ave,97232,,Cascade Management Inc.,503-281-9298,51,,3,47,1,,
Peter Paulson Apts,1530 SW 13th Ave,97201,,Cascade Management Inc.,503-294-2091,93,92,,1,,,
Ramona Apts,1550 NW 14th Ave,97209,,Pinnacle Realty Management,503-688-6008,139,,,9,60,70,
La Tourelle Apts,15514 SE Division St,97236,,La Tourelle Village/Concord Village,503-761-8249,75,,,,58,17,
Caritas Villa,16060 E Burnside St,97233,,Cascade Management Inc.,503-257-8947,30,,3,24,3,,
Abigail Apts,1650 NW 13th Ave,97209,,Guardian Real Estate Services,503-224-0789,155,,35,33,51,36,
Maggie Gibson Plaza,1700 NE Alberta St,97211,,PCRI,503-288-2923,9,,,,5,4,
Sellwood Center,1724 SE Tenino St,97202,,Home Forward,503-280-3940,110,,106,4,,,
Collins Circle,1730 SW Jefferson St,97201,,Guardian Real Estate Services,503-525-2324,52,,24,24,4,,
East County Project,17527 SE Pine St,97233,,Cascade Management Inc.,503-256-0845,7,,,3,4,,
Mayfield Court,17675 SE Pine St,97233,,Cascade Management Inc.,503-252-9716,30,,,26,4,,
Madrona Place,17810 E Burnside St,97233,,Home Forward,503-280-3750,45,,,3,19,23,
Rosewood Plaza,18173 NE Couch St,97230,,Human Solutions,844-232-1495,45,,,,,,
Eastwood Court,18208 SE Yamhill St,97233,,Home Forward,503-280-3750,31,,,,19,12,
Vermont Springs,1825 SW Vermont St,97219,,Cascadia Behavioral Healthcare,503-232-6971,14,,,14,,,
