zipCode,projectName,address,xCoord,yCoord,neighborhood,management,contactPhone,totalUnits,singleRoom,studio,oneBedroom,twoBedroom,threeBedroom,fourBedroom
97239,Gray's Landing,0650 SW Lowell St,,,,REACH Community Development Inc.,971-277-7195,42,,,22,20,,,,,,,,,,,,
97227,Madrona Studios,10 N Weidler St,,,,Central City Concern,503-525-8483,176,,176,,,,,,,,,,,,,,
97209,Helen Swindells Apts,10 NW Broadway,,,,Income Property Management,503-228-9474,105,105,,,,,,,,,,,,,,,
97220,Eastgate Station,100 NE 120th Ave,,,,Cascade Management Inc.,503-257-0000,61,,,16,8,29,8,,,,,,,,,,
97217,Bel Park,1001 N Blandena St,,,,Home Forward,503-280-3750,10,,2,8,,,,,,,,,,,,,
97203,North Oswego House,10036 N Oswego Ave,,,,NARA NW,503-224-1044,5,5,,,,,,,,,,,,,,,
97227,Dawson Park Apts,101 N Morris St,,,,Income Property Management,503-287-4742,67,,,59,8,,,,,,,,,,,,
97212,King Dishman Court,101 NE Knott,,,,Cascade Management Inc.,503-287-2162,14,,,4,6,4,,,,,,,,,,,
97205,Chaucer Court,1019 SW 10th Ave,,,,Manor Management,503-224-3559,83,,29,54,,,,,,,,,,,,,
97209,Station Place Tower,1020 NW 9th Ave,,,,REACH Community Development Inc.,503-546-4646,176,,36,125,15,,,,,,,,,,,,
97205,St Francis Apts,1024 SW Main St,,,,Cascade Management Inc.,503-223-2161,132,,106,16,10,,,,,,,,,,,,
97216,Floyd Light Apts,1031 SE 106th Ave,,,,REACH Community Development Inc.,503-688-5378,50,,,27,23,,,,,,,,,,,,
97266,Lents Village,10325 SE Holgate Blvd,,,,Cascade Management Inc.,503-762-0570,63,,,52,11,,,,,,,,,,,,
97209,Lovejoy Station,1040 NW 10th Ave,,,,Income Property Management,503-220-2500,181,,76,66,39,,,,,,,,,,,,
97216,Cascade Crossing,10535 E Burnside St,,,,Human Solutions,844-210-6442,74,,,16,32,26,,,,,,,,,,,
97220,Plaza de Cedro,10801 NE Fremont St,,,,Cascade Management Inc.,503-335-9603,6,,,,,4,2,,,,,,,,,,
97216,Park Vista,10918 SE Stark St,,,,Human Solutions,844-277-5320,59,,7,17,8,17,10,,,,,,,,,,
97201,Hill Park Apts.,110 SW Arthur,,,,Central City Concern,503-525-8483,39,,14,25,,,,,,,,,,,,,
97211,Moles Rentals,1103 NE Roselawn St,,,,Marvin & Doreen Mole,619-462-8676,7,,,,,7,,,,,,,,,,,
97230,Lone Pine Apts,111 NE 162nd Ave,,,,Cascadia Behavioral Healthcare,503-674-7777,17,,,,,,,,,,,,,,,,
97209,Sitka Apts,1115 NW Northrup St,,,,Pinnacle Realty Management,503-306-3400,209,,60,102,47,,,,,,,,,,,,
