zipCode,crimeIndex,crimeCount,crimeRatio,neighborhood,quadrant,avgRent,rentLow,rentHigh,walkIndex,violenceIndex,crimeTime,avgHomeValue
97239,1024,163,6.28,,,,,,,,,
97221,1732,300,5.77,,,,,,,,,
97201,3175,570,5.57,,,,,,,,,
97215,3561,558,6.38,,,,,,,,,
97204,4399,709,6.2,,,,,,,,,
97219,5796,932,6.22,,,,,,,,,
97227,7152,1117,6.4,,,,,,,,,
97218,7825,1150,6.8,,,,,,,,,
97266,11430,1739,6.57,,,,,,,,,
97230,11433,1688,6.77,,,,,,,,,
97203,12123,1783,6.8,,,,,,,,,
97233,12473,1835,6.8,,,,,,,,,
97211,13326,2003,6.65,,,,,,,,,
97210,14327,2297,6.24,,,,,,,,,
97212,15162,2385,6.36,,,,,,,,,
97220,15300,2244,6.82,,,,,,,,,
97236,15837,2318,6.83,,,,,,,,,
97232,16368,2620,6.25,,,,,,,,,
97206,17091,2641,6.47,,,,,,,,,
97202,17160,2681,6.4,,,,,,,,,
97209,17221,2760,6.24,,,,,,,,,
97217,18786,2888,6.5,,,,,,,,,
97213,18902,2820,6.7,,,,,,,,,
97214,22489,3544,6.35,,,,,,,,,
97205,23650,3899,6.07,,,,,,,,,
97216,24851,3796,6.55,,,,,,,,,
